, lat, lon, total_area, mean_width, mean_length, mean_depth, mean_elev, max_elev, min_elev
5992,30.547,83.817, 2.2000, 1.2000, 1.9000, 56.0000, 5890, 6140, 5640
5993,30.533,83.808, 0.4000, 0.4000, 1.0000, 23.0000, 5985, 6170, 5800
5994,30.529,83.817, 1.5000, 0.8000, 2.0000, 49.0000, 5930, 6140, 5720
5995,30.525,83.84, 1.0000, 0.9000, 1.1000, 42.0000, 5945, 6150, 5740
5996,30.508,83.875, 0.2000, 0.4000, 0.5000, 17.0000, 6060, 6160, 5960
5997,30.512,83.86, 0.7000, 0.7000, 1.0000, 36.0000, 5952, 6154, 5750
5998,30.506,83.875, 0.1100, 0.2000, 0.5000, 13.0000, 6135, 6200, 6070
5999,30.5,83.875, 0.1000, 0.2000, 0.5000, 12.0000, 6074, 6208, 5940
6000,30.492,83.858, 0.4000, 0.5000, 0.9000, 23.0000, 5956, 6172, 5740
6001,30.478,83.855, 0.4000, 0.5000, 1.0000, 23.0000, 5967, 6154, 5780
6002,30.479,83.833, 2.2000, 1.0000, 2.2000, 56.0000, 5923, 6206, 5640
6003,30.497,83.825, 0.1000, 0.4000, 0.3000, 12.0000, 6030, 6100, 5960
6004,30.484,83.821, 0.5000, 0.7000, 0.8000, 32.0000, 5930, 6180, 5680
6005,30.488,83.791, 0.6000, 0.8000, 0.8000, 34.0000, 5901, 6122, 5680
6006,30.475,83.787, 0.4000, 0.4000, 0.9000, 23.0000, 5900, 6040, 5760
6007,30.468,83.78, 0.3000, 0.5000, 0.7000, 20.0000, 5842, 6044, 5640
6008,30.47,83.771, 0.3000, 0.4000, 0.8000, 20.0000, 5846, 6072, 5620
6009,30.475,83.769, 0.3000, 0.4000, 0.8000, 20.0000, 5860, 6000, 5720
6010,30.479,83.753, 0.3000, 0.3000, 0.7000, 20.0000, 5900, 6000, 5800
6011,30.47,83.767, 0.1000, 0.3000, 0.3000, 12.0000, 6016, 6072, 5960
6012,30.458,83.779, 0.4000, 0.5000, 0.9000, 23.0000, 5836, 6002, 5670
6013,30.442,83.783, 0.2000, 0.4000, 0.4000, 17.0000, 5760, 5840, 5680
6014,30.452,83.792, 0.4000, 0.5000, 0.9000, 23.0000, 5770, 5920, 5620
6015,30.467,83.786, 0.4000, 0.5000, 0.9000, 23.0000, 5912, 6044, 5780
6016,30.476,83.817, 1.0000, 0.7000, 1.5000, 42.0000, 5943, 6206, 5680
6017,30.467,83.817, 0.2000, 0.5000, 0.5000, 17.0000, 5884, 6088, 5680
6018,30.467,83.825, 0.1000, 0.3000, 0.4000, 12.0000, 6053, 6206, 5900
6019,30.468,83.831, 0.2000, 0.4000, 0.7000, 17.0000, 6023, 6206, 5840
6020,30.448,83.859, 0.5000, 0.5000, 0.9000, 32.0000, 5820, 6000, 5640
6021,30.438,83.85, 1.1000, 0.7000, 1.5000, 43.0000, 5812, 6034, 5590
6022,30.443,83.857, 0.2000, 0.4000, 0.6000, 17.0000, 5920, 6200, 5640
6023,30.443,83.828, 0.2000, 0.4000, 0.6000, 17.0000, 5842, 6084, 5600
6024,30.43,83.837, 0.5000, 1.0000, 0.6000, 32.0000, 5839, 6000, 5678
6025,30.425,83.822, 0.2000, 0.4000, 0.4000, 17.0000, 5819, 6000, 5638
6026,30.429,83.847, 0.1000, 0.2000, 0.4000, 12.0000, 5937, 6034, 5840
6027,30.422,83.846, 0.4000, 0.5000, 0.9000, 23.0000, 5882, 6040, 5724
6028,30.413,83.842, 0.3000, 0.4000, 0.8000, 20.0000, 5865, 6052, 5678
6029,30.406,83.833, 0.7000, 0.6000, 0.9000, 36.0000, 5780, 5960, 5600
6030,30.402,83.824, 0.5000, 0.5000, 1.0000, 32.0000, 5750, 5940, 5560
6031,30.395,83.811, 0.4000, 0.5000, 0.7000, 23.0000, 5959, 6120, 5798
